Code,Description,Category,Label,Type,Weight,MDC,Post Acute,Special Pay,LOS Mean,Geo LOS Mean
194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,SIMPLE PNEUMONIA AND PLEURISY,CC,MED,0.8402,04,Yes,No,3.6,2.9
195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,SIMPLE PNEUMONIA AND PLEURISY,None,MED,0.6418,04,Yes,No,2.8,2.3
196,INTERSTITIAL LUNG DISEASE WITH MCC,INTERSTITIAL LUNG DISEASE,MCC,MED,1.7377,04,Yes,No,6.7,5.0
197,INTERSTITIAL LUNG DISEASE WITH CC,INTERSTITIAL LUNG DISEASE,CC,MED,0.9836,04,Yes,No,4.0,3.0
198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,INTERSTITIAL LUNG DISEASE,None,MED,0.7109,04,Yes,No,2.6,2.2
199,PNEUMOTHORAX WITH MCC,PNEUMOTHORAX,MCC,MED,1.7586,04,No,No,6.6,5.1
200,PNEUMOTHORAX WITH CC,PNEUMOTHORAX,CC,MED,1.0720,04,No,No,3.9,3.1
201,PNEUMOTHORAX WITHOUT CC/MCC,PNEUMOTHORAX,None,MED,0.7279,04,No,No,2.9,2.3
202,BRONCHITIS AND ASTHMA WITH CC/MCC,BRONCHITIS AND ASTHMA,Both,MED,0.9258,04,No,No,3.5,2.8
203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,BRONCHITIS AND ASTHMA,None,MED,0.6671,04,No,No,2.5,2.1
204,RESPIRATORY SIGNS AND SYMPTOMS,RESPIRATORY SIGNS AND SYMPTOMS,Others,MED,0.8094,04,No,No,2.7,2.1
205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,OTHER RESPIRATORY SYSTEM DIAGNOSES,MCC,MED,1.7810,04,Yes,No,6.1,4.4
206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,OTHER RESPIRATORY SYSTEM DIAGNOSES,NO MCC,MED,0.8934,04,Yes,No,3.1,2.4
207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,Others,MED,6.5659,04,Yes,No,16.1,13.8
208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,Others,MED,2.6001,04,No,No,7.2,5.0
215,OTHER HEART ASSIST SYSTEM IMPLANT,OTHER HEART ASSIST SYSTEM IMPLANT,Others,SURG,10.3032,05,No,No,8.6,4.9
216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION,MCC,SURG,9.7419,05,Yes,Yes,14.5,11.3
217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION,CC,SURG,6.3488,05,Yes,Yes,7.3,5.5
218,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION,None,SURG,5.9387,05,Yes,Yes,3.4,2.3
219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,MCC,SURG,8.1283,05,Yes,Yes,11.0,8.9
220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,CC,SURG,5.4351,05,Yes,Yes,6.5,5.8
221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT CC/MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,None,SURG,4.7316,05,Yes,Yes,4.0,3.3
222,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MCC","CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK",MCC,SURG,7.6566,05,No,No,11.0,8.9
223,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITHOUT MCC","CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK",NO MCC,SURG,5.2187,05,No,No,5.8,5.0
224,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH MCC","CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK",MCC,SURG,7.0892,05,No,No,9.4,7.4
225,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITHOUT MCC","CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK",NO MCC,SURG,5.0577,05,No,No,4.7,4.0
226,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION,MCC,SURG,6.4009,05,No,No,7.9,6.0
227,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION,NO MCC,SURG,5.0207,05,No,No,3.8,2.9
228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,OTHER CARDIOTHORACIC PROCEDURES,MCC,SURG,4.9283,05,No,No,8.9,6.4
229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,OTHER CARDIOTHORACIC PROCEDURES,NO MCC,SURG,3.3009,05,No,No,3.5,2.7
231,CORONARY BYPASS WITH PTCA WITH MCC,CORONARY BYPASS WITH PTCA,MCC,SURG,8.3932,05,No,No,12.1,10.5
232,CORONARY BYPASS WITH PTCA WITHOUT MCC,CORONARY BYPASS WITH PTCA,NO MCC,SURG,5.8578,05,No,No,8.3,7.6
233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION,MCC,SURG,7.7449,05,Yes,No,12.7,11.3
234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION,NO MCC,SURG,5.1863,05,Yes,No,8.5,7.9
235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION,MCC,SURG,5.9900,05,Yes,No,9.6,8.3
236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION,NO MCC,SURG,4.0784,05,Yes,No,6.3,5.9
239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE,MCC,SURG,4.6501,05,Yes,No,13.0,10.3
240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE,CC,SURG,2.7142,05,Yes,No,8.3,6.8
241,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE,None,SURG,1.5489,05,Yes,No,5.0,4.1
242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,PERMANENT CARDIAC PACEMAKER IMPLANT,MCC,SURG,3.4735,05,Yes,No,6.5,5.0
243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,PERMANENT CARDIAC PACEMAKER IMPLANT,CC,SURG,2.3440,05,Yes,No,3.5,2.9
244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,PERMANENT CARDIAC PACEMAKER IMPLANT,None,SURG,1.9011,05,Yes,No,2.4,2.1
245,AICD GENERATOR PROCEDURES,AICD GENERATOR PROCEDURES,Others,SURG,4.8760,05,No,No,5.4,3.9
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT,MCC,SURG,2.9954,05,No,No,5.1,3.8
247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT,NO MCC,SURG,1.9095,05,No,No,2.4,2.0
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES OR STENTS,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT,MCC,SURG,3.0098,05,No,No,5.8,4.3
249,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT,NO MCC,SURG,1.8167,05,No,No,2.7,2.2
250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT,MCC,SURG,2.4197,05,No,No,4.7,3.4
251,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT,NO MCC,SURG,1.6253,05,No,No,2.4,2.0
252,OTHER VASCULAR PROCEDURES WITH MCC,OTHER VASCULAR PROCEDURES,MCC,SURG,3.3433,05,No,No,7.6,5.2
253,OTHER VASCULAR PROCEDURES WITH CC,OTHER VASCULAR PROCEDURES,CC,SURG,2.6740,05,No,No,5.2,3.9
254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,OTHER VASCULAR PROCEDURES,None,SURG,1.8285,05,No,No,2.4,1.9
255,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS,MCC,SURG,2.5656,05,Yes,No,8.1,6.3
256,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS,CC,SURG,1.6322,05,Yes,No,5.9,4.8
257,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS,None,SURG,1.0487,05,Yes,No,4.0,3.4
258,CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC,CARDIAC PACEMAKER DEVICE REPLACEMENT,MCC,SURG,2.8513,05,No,No,6.3,4.7
259,CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC,CARDIAC PACEMAKER DEVICE REPLACEMENT,NO MCC,SURG,1.9941,05,No,No,3.0,2.5
260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT,MCC,SURG,3.4986,05,No,No,8.6,6.0
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT,CC,SURG,1.9108,05,No,No,3.8,3.0
262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT,None,SURG,1.6768,05,No,No,2.5,2.1
263,VEIN LIGATION AND STRIPPING,VEIN LIGATION AND STRIPPING,Others,SURG,2.7860,05,No,No,7.9,4.6
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,Others,SURG,3.3097,05,Yes,No,9.4,6.6
265,AICD LEAD PROCEDURES,AICD LEAD PROCEDURES,Others,SURG,3.3821,05,No,No,6.1,4.2
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES,MCC,SURG,6.6007,05,Yes,Yes,4.9,2.8
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES,NO MCC,SURG,5.1606,05,Yes,Yes,1.7,1.4
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON,MCC,SURG,6.9208,05,No,No,9.4,6.0
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON,NO MCC,SURG,4.2763,05,No,No,2.1,1.5
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,OTHER MAJOR CARDIOVASCULAR PROCEDURES,MCC,SURG,5.1126,05,No,No,9.5,6.5
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,OTHER MAJOR CARDIOVASCULAR PROCEDURES,CC,SURG,3.4838,05,No,No,5.3,3.9
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,OTHER MAJOR CARDIOVASCULAR PROCEDURES,None,SURG,2.5964,05,No,No,2.3,1.8
273,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES,MCC,SURG,4.0130,05,No,No,5.8,3.8
274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES,NO MCC,SURG,3.3595,05,No,No,1.6,1.3
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC","ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE",MCC,MED,1.6064,05,Yes,No,5.4,4.1
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC","ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE",CC,MED,0.9186,05,Yes,No,2.9,2.4
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC","ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE",None,MED,0.7167,05,Yes,No,2.0,1.7
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC","ACUTE MYOCARDIAL INFARCTION, EXPIRED",MCC,MED,1.9186,05,No,No,5.1,3.1
284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC","ACUTE MYOCARDIAL INFARCTION, EXPIRED",CC,MED,0.7354,05,No,No,2.1,1.6
285,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC","ACUTE MYOCARDIAL INFARCTION, EXPIRED",None,MED,0.5418,05,No,No,1.5,1.3
286,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC","CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION",MCC,MED,2.1210,05,No,No,7.0,5.2
287,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC","CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION",NO MCC,MED,1.1002,05,No,No,2.7,2.1
288,ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC,ACUTE AND SUBACUTE ENDOCARDITIS,MCC,MED,2.6965,05,Yes,No,9.7,7.3
289,ACUTE AND SUBACUTE ENDOCARDITIS WITH CC,ACUTE AND SUBACUTE ENDOCARDITIS,CC,MED,1.6071,05,Yes,No,6.5,5.3
290,ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT CC/MCC,ACUTE AND SUBACUTE ENDOCARDITIS,None,MED,1.2057,05,Yes,No,4.4,3.7
291,HEART FAILURE AND SHOCK WITH MCC,HEART FAILURE AND SHOCK,MCC,MED,1.2798,05,Yes,No,5.0,3.9
292,HEART FAILURE AND SHOCK WITH CC,HEART FAILURE AND SHOCK,CC,MED,0.8628,05,Yes,No,3.8,3.0
293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,HEART FAILURE AND SHOCK,None,MED,0.5603,05,Yes,No,2.5,2.1
294,DEEP VEIN THROMBOPHLEBITIS WITH CC/MCC,DEEP VEIN THROMBOPHLEBITIS,Both,MED,1.1545,05,No,No,4.1,3.3
295,DEEP VEIN THROMBOPHLEBITIS WITHOUT CC/MCC,DEEP VEIN THROMBOPHLEBITIS,None,MED,0.8857,05,No,No,2.5,2.1
296,"CARDIAC ARREST, UNEXPLAINED WITH MCC","CARDIAC ARREST, UNEXPLAINED",MCC,MED,1.6383,05,No,No,3.4,2.1
297,"CARDIAC ARREST, UNEXPLAINED WITH CC","CARDIAC ARREST, UNEXPLAINED",CC,MED,0.6363,05,No,No,1.5,1.3
298,"CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC","CARDIAC ARREST, UNEXPLAINED",None,MED,0.4885,05,No,No,1.3,1.1
299,PERIPHERAL VASCULAR DISORDERS WITH MCC,PERIPHERAL VASCULAR DISORDERS,MCC,MED,1.5380,05,Yes,No,5.3,3.9
300,PERIPHERAL VASCULAR DISORDERS WITH CC,PERIPHERAL VASCULAR DISORDERS,CC,MED,1.0311,05,Yes,No,3.9,3.0
301,PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC,PERIPHERAL VASCULAR DISORDERS,None,MED,0.7162,05,Yes,No,2.5,2.1
302,ATHEROSCLEROSIS WITH MCC,ATHEROSCLEROSIS,MCC,MED,1.2058,05,No,No,3.9,2.7
303,ATHEROSCLEROSIS WITHOUT MCC,ATHEROSCLEROSIS,NO MCC,MED,0.6761,05,No,No,2.2,1.8
304,HYPERTENSION WITH MCC,HYPERTENSION,MCC,MED,1.0986,05,No,No,3.9,2.9
305,HYPERTENSION WITHOUT MCC,HYPERTENSION,NO MCC,MED,0.7456,05,No,No,2.6,2.1
306,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC,CARDIAC CONGENITAL AND VALVULAR DISORDERS,MCC,MED,1.4758,05,No,No,5.2,3.8
307,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC,CARDIAC CONGENITAL AND VALVULAR DISORDERS,NO MCC,MED,0.9114,05,No,No,2.9,2.2
308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS,MCC,MED,1.1726,05,No,No,4.5,3.4
309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS,CC,MED,0.7376,05,No,No,2.8,2.3
310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS,None,MED,0.5512,05,No,No,2.1,1.8
311,ANGINA PECTORIS,ANGINA PECTORIS,Others,MED,0.6681,05,No,No,2.4,1.9
312,SYNCOPE AND COLLAPSE,SYNCOPE AND COLLAPSE,Others,MED,0.8527,05,No,No,3.0,2.3
313,CHEST PAIN,CHEST PAIN,Others,MED,0.7234,05,No,No,2.1,1.7
314,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC,OTHER CIRCULATORY SYSTEM DIAGNOSES,MCC,MED,2.0826,05,Yes,No,6.8,4.9
315,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,OTHER CIRCULATORY SYSTEM DIAGNOSES,CC,MED,0.9685,05,Yes,No,3.5,2.7
316,OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC,OTHER CIRCULATORY SYSTEM DIAGNOSES,None,MED,0.6820,05,Yes,No,2.2,1.8
319,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITH MCC,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES,MCC,SURG,4.3066,05,No,No,9.8,7.3
320,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITHOUT MCC,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES,NO MCC,SURG,2.4714,05,No,No,3.1,2.1
326,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC","STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES",MCC,SURG,5.1188,06,Yes,No,12.9,9.4
327,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC","STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES",CC,SURG,2.5613,06,Yes,No,5.9,4.3
328,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC","STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES",None,SURG,1.6577,06,Yes,No,2.8,2.2
329,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,MAJOR SMALL AND LARGE BOWEL PROCEDURES,MCC,SURG,4.6233,06,Yes,No,12.6,9.8
330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,MAJOR SMALL AND LARGE BOWEL PROCEDURES,CC,SURG,2.4554,06,Yes,No,6.5,5.3
331,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,MAJOR SMALL AND LARGE BOWEL PROCEDURES,None,SURG,1.7088,06,Yes,No,3.5,3.0
332,RECTAL RESECTION WITH MCC,RECTAL RESECTION,MCC,SURG,4.0603,06,Yes,No,10.0,7.4
333,RECTAL RESECTION WITH CC,RECTAL RESECTION,CC,SURG,2.2331,06,Yes,No,5.0,4.0
334,RECTAL RESECTION WITHOUT CC/MCC,RECTAL RESECTION,None,SURG,1.7145,06,Yes,No,2.9,2.4
335,PERITONEAL ADHESIOLYSIS WITH MCC,PERITONEAL ADHESIOLYSIS,MCC,SURG,3.6838,06,Yes,No,11.2,8.9
336,PERITONEAL ADHESIOLYSIS WITH CC,PERITONEAL ADHESIOLYSIS,CC,SURG,2.1270,06,Yes,No,6.9,5.6
337,PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC,PERITONEAL ADHESIOLYSIS,None,SURG,1.5755,06,Yes,No,4.4,3.6
338,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS,MCC,SURG,2.6565,06,No,No,7.6,5.9
339,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS,CC,SURG,1.6284,06,No,No,4.6,3.7
340,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS,None,SURG,1.1999,06,No,No,2.7,2.3
341,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS,MCC,SURG,2.2590,06,No,No,6.0,4.4
342,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS,CC,SURG,1.4532,06,No,No,3.2,2.5
343,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS,None,SURG,1.0927,06,No,No,1.9,1.6
344,MINOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,MINOR SMALL AND LARGE BOWEL PROCEDURES,MCC,SURG,2.6325,06,No,No,9.0,6.6
345,MINOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,MINOR SMALL AND LARGE BOWEL PROCEDURES,CC,SURG,1.5515,06,No,No,5.3,4.2
346,MINOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,MINOR SMALL AND LARGE BOWEL PROCEDURES,None,SURG,1.2507,06,No,No,3.4,2.9
347,ANAL AND STOMAL PROCEDURES WITH MCC,ANAL AND STOMAL PROCEDURES,MCC,SURG,2.5382,06,No,No,7.8,5.6
348,ANAL AND STOMAL PROCEDURES WITH CC,ANAL AND STOMAL PROCEDURES,CC,SURG,1.3810,06,No,No,4.3,3.4
349,ANAL AND STOMAL PROCEDURES WITHOUT CC/MCC,ANAL AND STOMAL PROCEDURES,None,SURG,0.9972,06,No,No,2.3,1.9
350,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MCC,INGUINAL AND FEMORAL HERNIA PROCEDURES,MCC,SURG,2.3570,06,No,No,6.6,5.1
351,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC,INGUINAL AND FEMORAL HERNIA PROCEDURES,CC,SURG,1.4702,06,No,No,3.8,3.0
352,INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC,INGUINAL AND FEMORAL HERNIA PROCEDURES,None,SURG,1.1021,06,No,No,2.4,2.0
353,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MCC,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL,MCC,SURG,2.8678,06,No,No,7.7,5.7
354,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL,CC,SURG,1.7520,06,No,No,4.5,3.6
355,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL,None,SURG,1.3723,06,No,No,2.7,2.3
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES,MCC,SURG,4.2225,06,Yes,No,10.2,7.7
