HCPCS,DESCRIPTION,STATUS CODE,Outpatient RVU,Inpatient RVU,IN_OUT_RVU,GLOB_DAYS
D7511,Incision/drain abscess intra,R,0,0,0,YYY
D7520,I&d abscess extraoral,R,0,0,0,YYY
D7521,Incision/drain abscess extra,R,0,0,0,YYY
D7530,Removal fb skin/areolar tiss,R,0,0,0,YYY
D7540,Removal of fb reaction,R,0,0,0,YYY
D7550,Removal of sloughed off bone,R,0,0,0,YYY
D7560,Maxillary sinusotomy,R,0,0,0,YYY
D7610,Maxilla open reduct simple,R,0,0,0,YYY
D7620,Clsd reduct simpl maxilla fx,R,0,0,0,YYY
D7630,Open red simpl mandible fx,R,0,0,0,YYY
D7640,Clsd red simpl mandible fx,R,0,0,0,YYY
D7650,Open red simp malar/zygom fx,R,0,0,0,YYY
D7660,Clsd red simp malar/zygom fx,R,0,0,0,YYY
D7670,Closd rductn splint alveolus,R,0,0,0,YYY
D7671,Alveolus open reduction,R,0,0,0,YYY
D7680,Reduct simple facial bone fx,R,0,0,0,YYY
D7710,Maxilla open reduct compound,R,0,0,0,YYY
D7720,Clsd reduct compd maxilla fx,R,0,0,0,YYY
D7730,Open reduct compd mandble fx,R,0,0,0,YYY
D7740,Clsd reduct compd mandble fx,R,0,0,0,YYY
D7750,Open red comp malar/zygma fx,R,0,0,0,YYY
D7760,Clsd red comp malar/zygma fx,R,0,0,0,YYY
D7770,Open reduc compd alveolus fx,R,0,0,0,YYY
D7771,Alveolus clsd reduc stblz te,R,0,0,0,YYY
D7780,Reduct compnd facial bone fx,R,0,0,0,YYY
D7810,Tmj open reduct-dislocation,R,0,0,0,YYY
D7820,Closed tmp manipulation,R,0,0,0,YYY
D7830,Tmj manipulation under anest,R,0,0,0,YYY
D7840,Removal of tmj condyle,R,0,0,0,YYY
D7850,Tmj meniscectomy,R,0,0,0,YYY
D7852,Tmj repair of joint disc,R,0,0,0,YYY
D7854,Tmj excisn of joint membrane,R,0,0,0,YYY
D7856,Tmj cutting of a muscle,R,0,0,0,YYY
D7858,Tmj reconstruction,R,0,0,0,YYY
D7860,Tmj cutting into joint,R,0,0,0,YYY
D7865,Tmj reshaping components,R,0,0,0,YYY
D7870,Tmj aspiration joint fluid,R,0,0,0,YYY
D7871,Lysis + lavage w catheters,R,0,0,0,YYY
D7872,Tmj diagnostic arthroscopy,R,0,0,0,YYY
D7873,Tmj arthroscopy lysis adhesn,R,0,0,0,YYY
D7874,Tmj arthroscopy disc reposit,R,0,0,0,YYY
D7875,Tmj arthroscopy synovectomy,R,0,0,0,YYY
D7876,Tmj arthroscopy discectomy,R,0,0,0,YYY
D7877,Tmj arthroscopy debridement,R,0,0,0,YYY
D7880,Occlusal orthotic appliance,R,0,0,0,YYY
D7881,Occ orthotic device adjust,R,0,0,0,YYY
D7899,Tmj unspecified therapy,R,0,0,0,YYY
D7910,Dent sutur recent wnd to 5cm,R,0,0,0,YYY
D7911,Dental suture wound to 5 cm,R,0,0,0,YYY
D7912,Suture complicate wnd > 5 cm,R,0,0,0,YYY
D7920,Dental skin graft,R,0,0,0,YYY
D7921,Collect & appl blood product,R,0,0,0,YYY
D7922,Place intra-socket bio dress,R,0,0,0,YYY
D7939,Indexing for osteotomy,R,0,0,0,YYY
D7940,Reshaping bone orthognathic,R,0,0,0,YYY
D7941,Bone cutting ramus closed,R,0,0,0,YYY
D7943,Cutting ramus open w/graft,R,0,0,0,YYY
D7944,Bone cutting segmented,R,0,0,0,YYY
D7945,Bone cutting body mandible,R,0,0,0,YYY
D7946,Reconstruction maxilla total,R,0,0,0,YYY
D7947,Reconstruct maxilla segment,R,0,0,0,YYY
D7948,Reconstruct midface no graft,R,0,0,0,YYY
D7949,Reconstruct midface w/graft,R,0,0,0,YYY
D7950,Mandible graft,R,0,0,0,YYY
D7951,Sinus aug w bone or bone sub,R,0,0,0,YYY
D7952,Sinus augmentation vertical,R,0,0,0,YYY
D7953,Bone replacement graft,R,0,0,0,YYY
D7955,Repair maxillofacial defects,R,0,0,0,YYY
D7956,Tiss regen edent resorb,R,0,0,0,YYY
D7957,Tiss regen edent nonresorb,R,0,0,0,YYY
D7961,Buccal/labial frenectomy,R,0,0,0,YYY
D7962,Lingual frenectomy,R,0,0,0,YYY
D7963,Frenuloplasty,R,0,0,0,YYY
D7970,Excision hyperplastic tissue,R,0,0,0,YYY
D7971,Excision pericoronal gingiva,R,0,0,0,YYY
D7972,Surg redct fibrous tuberosit,R,0,0,0,YYY
D7979,Non-surgical sialolithotomy,R,0,0,0,YYY
D7980,Surgical sialolithotomy,R,0,0,0,YYY
D7981,Excision of salivary gland,R,0,0,0,YYY
D7982,Sialodochoplasty,R,0,0,0,YYY
D7983,Closure of salivary fistula,R,0,0,0,YYY
D7990,Emergency tracheotomy,R,0,0,0,YYY
D7991,Dental coronoidectomy,R,0,0,0,YYY
D7993,Surg place craniofacial impl,R,0,0,0,YYY
D7994,Surg place zygomatic impl,R,0,0,0,YYY
D7995,Synthetic graft facial bones,R,0,0,0,YYY
D7996,Implant mandible for augment,R,0,0,0,YYY
D7997,Appliance removal,R,0,0,0,YYY
D7998,Intraoral place of fix dev,R,0,0,0,YYY
D7999,Oral surgery procedure,R,0,0,0,YYY
D8010,Limited dental tx primary,R,0,0,0,YYY
D8020,Limited dental tx transition,R,0,0,0,YYY
D8030,Limited dental tx adolescent,R,0,0,0,YYY
D8040,Limited dental tx adult,R,0,0,0,YYY
D8070,Compre dental tx transition,R,0,0,0,YYY
D8080,Compre dental tx adolescent,R,0,0,0,YYY
D8090,Compre dental tx adult,R,0,0,0,YYY
D8210,Orthodontic rem appliance tx,R,0,0,0,YYY
D8220,Fixed appliance therapy habt,R,0,0,0,YYY
D8660,Preorthodontic tx visit,R,0,0,0,YYY
D8670,Periodic orthodontc tx visit,R,0,0,0,YYY
D8680,Orthodontic retention,R,0,0,0,YYY
D8681,Removable retainer adjust,R,0,0,0,YYY
D8695,Remove fixed ortho appliance,R,0,0,0,YYY
D8696,Rep of ortho appliance max,R,0,0,0,YYY
D8697,Rep of ortho appliance man,R,0,0,0,YYY
D8698,Recement fixed retainer max,R,0,0,0,YYY
D8699,Recement fixed retainer man,R,0,0,0,YYY
D8701,Repair fixed retainer max,R,0,0,0,YYY
D8702,Repair of fixed retainer man,R,0,0,0,YYY
D8703,Replace broken retainer max,R,0,0,0,YYY
D8704,Replace broken retainer man,R,0,0,0,YYY
D8999,Orthodontic procedure,R,0,0,0,YYY
D9110,Palliative tx dental pain,R,0,0,0,YYY
D9120,Fix partial denture section,R,0,0,0,YYY
D9130,Temporomandibular joint dysf,R,0,0,0,XXX
D9210,Dent anesthesia w/o surgery,R,0,0,0,XXX
D9211,Regional block anesthesia,R,0,0,0,XXX
D9212,Trigeminal block anesthesia,R,0,0,0,XXX
D9215,Local anesthesia,R,0,0,0,XXX
D9219,Eval mod/deep sed/gen anest,R,0,0,0,XXX
D9222,"Deep anest, 1st 15 min",R,0,0,0,XXX
D9223,General anesth ea addl 15 mi,R,0,0,0,XXX
D9230,Analgesia,R,0,0,0,XXX
D9239,"Iv mod sedation, 1st 15 min",R,0,0,0,XXX
D9243,Iv sedation ea addl 15m,R,0,0,0,XXX
D9248,Sedation (non-iv),R,0,0,0,XXX
D9310,Dental consultation,R,0,0,0,XXX
D9311,Consult w/med hlth care prof,R,0,0,0,XXX
D9410,Dental house call,R,0,0,0,XXX
D9420,Hospital/asc call,R,0,0,0,XXX
D9430,Office visit during hours,R,0,0,0,XXX
D9440,Office visit after hours,R,0,0,0,XXX
D9450,Case presentation tx plan,R,0,0,0,XXX
D9610,Dent therapeutic drug inject,R,0,0,0,YYY
D9612,Thera par drugs 2 or > admin,R,0,0,0,YYY
D9613,Infiltration thera drug,R,0,0,0,YYY
D9630,Drugs/meds disp for home use,R,0,0,0,YYY
D9910,Dent appl desensitizing med,R,0,0,0,YYY
D9911,Appl desensitizing resin,R,0,0,0,YYY
D9912,Pre-visit patient screening,R,0,0,0,XXX
D9920,Behavior management,R,0,0,0,XXX
D9930,Treatment of complications,R,0,0,0,XXX
D9932,Clean & inspect rem dent max,R,0,0,0,YYY
D9933,Clean & inspect rem dent man,R,0,0,0,YYY
D9934,Clean rem part denture max,R,0,0,0,YYY
D9935,Clean rem part denture mand,R,0,0,0,YYY
D9938,Fab removable appliance,R,0,0,0,YYY
D9939,Placemnt removable appliance,R,0,0,0,YYY
D9941,Fabrication athletic guard,R,0,0,0,YYY
D9942,Repair/reline occlusal guard,R,0,0,0,YYY
D9943,Occlusal guard adjustment,R,0,0,0,YYY
D9944,"Occ guard, hard, full arch",R,0,0,0,YYY
D9945,"Occ guard, soft, full arch",R,0,0,0,YYY
D9946,"Occ guard, hard, part arch",R,0,0,0,YYY
D9947,Sleep apnea appliance,N,0,0,0,XXX
D9948,Adjust sleep apnea appliance,N,0,0,0,YYY
D9949,Repair sleep apnea appliance,N,0,0,0,YYY
D9950,Occlusion analysis,R,0,0,0,XXX
D9951,Limited occlusal adjustment,R,0,0,0,XXX
D9952,Complete occlusal adjustment,R,0,0,0,XXX
D9953,Reline sleep apnea appliance,N,0,0,0,XXX
D9954,Fab/del oral appliance thxpy,N,0,0,0,XXX
D9955,Oral app thxpy titration vis,R,0,0,0,YYY
D9956,Admin home sleep apnea test,R,0,0,0,YYY
D9957,Screening sleep disorders,R,0,0,0,YYY
D9961,Dup/copy patient's records,R,0,0,0,XXX
D9970,Enamel microabrasion,R,0,0,0,YYY
D9971,Odontoplasty per tooth,R,0,0,0,YYY
D9972,Extrnl bleaching per arch,R,0,0,0,YYY
D9973,Extrnl bleaching per tooth,R,0,0,0,YYY
D9974,Intrnl bleaching per tooth,R,0,0,0,YYY
D9975,External bleaching home app,R,0,0,0,YYY
D9985,Sales tax,I,0,0,0,XXX
D9986,Missed appointment,I,0,0,0,XXX
D9987,Cancelled appointment,I,0,0,0,XXX
D9990,Trans or sign language svcs,R,0,0,0,XXX
D9991,"Case mgmt, appt barriers",R,0,0,0,XXX
D9992,"Case mgmt, care coordination",R,0,0,0,XXX
D9993,"Case mgmt, interviewing",R,0,0,0,XXX
D9994,"Case mgmt, pt education",R,0,0,0,XXX
D9995,Teledentistry real-time,R,0,0,0,XXX
D9996,Teledentistry dent review,R,0,0,0,XXX
D9997,Dent case mgmt special needs,R,0,0,0,XXX
D9999,Adjunctive procedure,R,0,0,0,XXX
G0008,Admin influenza virus vac,X,0,0,0,XXX
G0009,Admin pneumococcal vaccine,X,0,0,0,XXX
G0010,Admin hepatitis b vaccine,X,0,0,0,XXX
G0011,"Hiv prep counsel, md 15-30m",A,0.79,0.67,1.46,XXX
G0012,Injection of hiv prep drug,A,0.43,0.43,0.86,XXX
G0013,"Hiv prep counsel, clin staff",A,0.7,0.26,0.96,XXX
G0017,Crisis psychotherapy 60m,A,6.37,5.58,11.95,XXX
G0018,Crisis psychotherapy add 30m,A,3.16,2.8,5.96,ZZZ
G0019,Comm hlth intg svs sdoh 60mn,A,2.42,1.49,3.91,XXX
G0022,Comm hlth intg svs add 30 m,A,1.51,1.04,2.55,ZZZ
G0023,Pin service 60m per month,A,2.42,1.49,3.91,XXX
G0024,Pin srv add 30 min pr m,A,1.51,1.04,2.55,ZZZ
G0027,Semen analysis,X,0,0,0,XXX
G0029,No tob scr/cess int,M,0,0,0,XXX
G0030,Pt scr tob & cess int,M,0,0,0,XXX
G0031,Pall serv during meas,M,0,0,0,XXX
G0032,2+ antipsy schiz,M,0,0,0,XXX
G0033,2+ benzo seiz,M,0,0,0,XXX
G0034,Pall serv during meas,M,0,0,0,XXX
G0035,Pt ed pos 23,M,0,0,0,XXX
G0036,Pt/ptn decln assess,M,0,0,0,XXX
G0037,Pt not able to participate,M,0,0,0,XXX
G0038,Clin pt no ref,M,0,0,0,XXX
G0039,"Pt no ref, rn spec",M,0,0,0,XXX
G0040,Pt phys/occ therapy,M,0,0,0,XXX
G0041,Pt/ptn decln referral,M,0,0,0,XXX
G0042,Ref to therapy,M,0,0,0,XXX
G0043,Pt mech pros ht valv,M,0,0,0,XXX
G0044,Pt mitral stenosis,M,0,0,0,XXX
G0045,Mrs 90 days post stk,M,0,0,0,XXX
G0046,No mrs 90 days post stk,M,0,0,0,XXX
G0047,Ped blunt hd traum,M,0,0,0,XXX
G0048,Pall serv during meas,M,0,0,0,XXX
G0049,Main hemo in-cntr,M,0,0,0,XXX
G0050,Pt w/ lmted life expec,M,0,0,0,XXX
G0051,Pt hospice mnth,M,0,0,0,XXX
G0052,Pt peri dialysis dur mo,M,0,0,0,XXX
G0053,Adv rheum pt care mvp,M,0,0,0,XXX
G0054,Strk cr prev pos outcme mvp,M,0,0,0,XXX
G0055,Adv care heart dx mvp,M,0,0,0,XXX
G0057,Best pct pt safety em mvp,M,0,0,0,XXX
G0058,Imprv care le jnt repr mvp,M,0,0,0,XXX
G0059,Pt sfty pos exp w aneth mvp,M,0,0,0,XXX
G0060,Allergy/immunology ss,M,0,0,0,XXX
G0061,Anesthesiology ss,M,0,0,0,XXX
G0062,Audiology ss,M,0,0,0,XXX
G0063,Cardiology ss,M,0,0,0,XXX
G0064,Cert nurse midwife ss,M,0,0,0,XXX
G0065,Chiropractic ss,M,0,0,0,XXX
G0066,Clinical social work ss,M,0,0,0,XXX
G0067,Dentistry ss,M,0,0,0,XXX
G0068,Adm iv infusion drug in home,X,0,0,0,XXX
G0069,Adm sq infusion drug in home,X,0,0,0,XXX
G0070,Adm of chemo drug in home,X,0,0,0,XXX
G0071,Comm svcs by rhc/fqhc 5 min,X,0.4,0.52,0.92,XXX
G0076,Care manag h vst new pt 20 m,A,1.48,1.48,2.96,XXX
G0077,Care manag h vst new pt 30 m,A,2.2,2.2,4.4,XXX
G0078,Care manag h vst new pt 45 m,A,3.61,3.61,7.22,XXX
G0079,Care manag h vst new pt 60 m,A,4.74,4.74,9.48,XXX
G0080,Care manag h vst new pt 75 m,A,6.22,6.22,12.44,XXX
G0081,Care man h v ext pt 20 mi,A,1.45,1.45,2.9,XXX
G0082,Care man h v ext pt 30 m,A,2.34,2.34,4.68,XXX
G0083,Care man h v ext pt 45 m,A,3.68,3.68,7.36,XXX
G0084,Care man h v ext pt 60 m,A,5.2,5.2,10.4,XXX
G0085,Care man h v ext pt 75 m,A,6.22,6.22,12.44,XXX
G0086,Care man home care plan 30 m,A,2.22,2.22,4.44,XXX
G0087,Care man home care plan 60 m,A,3.11,3.11,6.22,XXX
G0088,Adm iv drug 1st home visit,X,0,0,0,XXX
G0089,Adm subq drug 1st home visit,X,0,0,0,XXX
G0090,Adm iv chemo 1st home visit,X,0,0,0,XXX
G0101,Ca screen;pelvic/breast exam,A,1.18,0.82,2,XXX
G0102,Prostate ca screening; dre,A,0.7,0.26,0.96,XXX
G0103,Psa screening,X,0,0,0,XXX
G0104,Ca screen;flexi sigmoidscope,A,5.59,1.69,7.28,0
G0105,Colorectal scrn; hi risk ind,A,10.19,5.45,15.64,0
G0105,Colorectal scrn; hi risk ind,A,5.09,2.73,7.82,0
G0106,Colon ca screen;barium enema,A,6.57,6.57,13.14,XXX
G0106,Colon ca screen;barium enema,A,4.81,4.81,9.62,XXX
G0106,Colon ca screen;barium enema,A,1.76,1.76,3.52,XXX
G0108,Diab manage trn  per indiv,A,1.63,1.63,3.26,XXX
G0109,Diab manage trn ind/group,A,0.47,0.47,0.94,XXX
G0117,Glaucoma scrn hgh risk direc,T,1.91,1.91,3.82,XXX
G0118,Glaucoma scrn hgh risk direc,T,1.26,1.26,2.52,XXX
G0120,Colon ca scrn; barium enema,A,6.57,6.57,13.14,XXX
G0120,Colon ca scrn; barium enema,A,4.81,4.81,9.62,XXX
G0120,Colon ca scrn; barium enema,A,1.76,1.76,3.52,XXX
G0121,Colon ca scrn not hi rsk ind,A,10.2,5.46,15.66,0
G0121,Colon ca scrn not hi rsk ind,A,5.1,2.74,7.84,0
G0122,Colon ca scrn; barium enema,N,9.66,9.66,19.32,XXX
G0122,Colon ca scrn; barium enema,N,8.27,8.27,16.54,XXX
G0122,Colon ca scrn; barium enema,N,1.39,1.39,2.78,XXX
G0123,Screen cerv/vag thin layer,X,0,0,0,XXX
G0124,Screen c/v thin layer by md,A,0.72,0.72,1.44,XXX
G0127,Trim nail(s),R,0.72,0.22,0.94,0
G0128,Corf skilled nursing service,R,0.29,0.29,0.58,XXX
G0129,Php/iop ot service,X,0,0,0,XXX
G0130,Single energy x-ray study,A,1.1,1.1,2.2,XXX
G0130,Single energy x-ray study,A,0.78,0.78,1.56,XXX
G0130,Single energy x-ray study,A,0.32,0.32,0.64,XXX
G0136,Adm of soc dtr assess 5-15 m,A,0.57,0.27,0.84,XXX
G0137,"Inten outpt svs,min 9 pr 7 d",X,0,0,0,ZZZ
G0140,Nav srv peer sup 60 min pr m,A,2.42,1.49,3.91,XXX
G0141,"Scr c/v cyto,autosys and md",A,0.72,0.72,1.44,XXX
G0143,"Scr c/v cyto,thinlayer,rescr",X,0,0,0,XXX
G0144,"Scr c/v cyto,thinlayer,rescr",X,0,0,0,XXX
G0145,"Scr c/v cyto,thinlayer,rescr",X,0,0,0,XXX
G0146,Nav srv peer sup add 30 pr m,A,1.51,1.04,2.55,ZZZ
G0147,"Scr c/v cyto, automated sys",X,0,0,0,XXX
G0148,"Scr c/v cyto, autosys, rescr",X,0,0,0,XXX
G0151,"Hhcp-serv of pt,ea 15 min",X,0,0,0,XXX
G0152,"Hhcp-serv of ot,ea 15 min",X,0,0,0,XXX
G0153,"Hhcp-svs of s/l path,ea 15mn",X,0,0,0,XXX
G0155,"Hhcp-svs of csw,ea 15 min",X,0,0,0,XXX
G0156,"Hhcp-svs of aide,ea 15 min",X,0,0,0,XXX
G0157,Hhc pt assistant ea 15,E,0,0,0,XXX
G0158,Hhc ot assistant ea 15,E,0,0,0,XXX
G0159,Hhc pt maint ea 15 min,E,0,0,0,XXX
G0160,Hhc occup therapy ea 15,E,0,0,0,XXX
G0161,Hhc slp ea 15 min,E,0,0,0,XXX
G0162,"Hhc rn e&m plan svs, 15 min",E,0,0,0,XXX
G0166,"Extrnl counterpulse, per tx",A,3.08,3.08,6.16,XXX
G0168,Wound closure by adhesive,A,3.66,0.44,4.1,0
G0175,"Opps service,sched team conf",X,0,0,0,XXX
G0176,Opps/php/iop; activity thrpy,X,0,0,0,XXX
G0177,Opps/php/iop; train & educ,X,0,0,0,XXX
G0179,Md recertification hha pt,A,1.26,1.26,2.52,XXX
G0180,Md certification hha patient,A,1.61,1.61,3.22,XXX
G0181,Home health care supervision,A,3.14,3.14,6.28,XXX
G0182,Hospice care supervision,A,3.13,3.13,6.26,XXX
G0186,"Dstry eye lesn,fdr vssl tech",C,0,0,0,YYY
G0219,Pet img wholbod melano nonco,N,0,0,0,XXX
G0219,Pet img wholbod melano nonco,N,0,0,0,XXX
G0219,Pet img wholbod melano nonco,N,0,0,0,XXX
G0235,Pet not otherwise specified,N,0,0,0,XXX
G0235,Pet not otherwise specified,N,0,0,0,XXX
G0235,Pet not otherwise specified,N,0,0,0,XXX
G0237,Therapeutic procd strg endur,A,0.34,0.34,0.68,XXX
G0238,"Oth resp proc, indiv",A,0.31,0.31,0.62,XXX
G0239,"Oth resp proc, group",A,0.39,0.39,0.78,XXX
G0245,Initial foot exam pt lops,R,1.94,1.18,3.12,XXX
G0246,Followup eval of foot pt lop,R,1.17,0.59,1.76,XXX
G0247,Routine footcare pt w lops,R,2.53,0.64,3.17,ZZZ
G0248,Demonstrate use home inr mon,R,3,3,6,XXX
G0249,Provide inr test mater/equip,R,1.97,1.97,3.94,XXX
G0250,Md inr test revie inter mgmt,R,0.26,0.26,0.52,XXX
G0252,Pet imaging initial dx,N,0,0,0,XXX
G0252,Pet imaging initial dx,N,0,0,0,XXX
G0252,Pet imaging initial dx,N,2.11,2.11,4.22,XXX
G0255,Current percep threshold tst,N,0,0,0,XXX
G0255,Current percep threshold tst,N,0,0,0,XXX
G0255,Current percep threshold tst,N,0,0,0,XXX
G0257,Unsched dialysis esrd pt hos,E,0,0,0,XXX
G0259,Inject for sacroiliac joint,E,0,0,0,XXX
G0260,Inj for sacroiliac jt anesth,E,0,0,0,XXX
G0268,Removal of impacted wax md,A,1.57,0.99,2.56,0
G0269,Occlusive device in vein art,B,0,0,0,XXX
G0270,Mnt subs tx for change dx,A,0.95,0.81,1.76,XXX
G0271,Group mnt 2 or more 30 mins,A,0.5,0.46,0.96,XXX
G0276,Pild/placebo control clin tr,R,10.95,10.95,21.9,0
G0277,"Hbot, full body chamber, 30m",A,5.47,5.47,10.94,XXX
G0278,"Iliac art angio,cardiac cath",A,0.4,0.4,0.8,ZZZ
G0279,"Tomosynthesis, mammo",A,1.42,1.42,2.84,ZZZ
G0279,"Tomosynthesis, mammo",A,0.58,0.58,1.16,ZZZ
G0279,"Tomosynthesis, mammo",A,0.84,0.84,1.68,ZZZ
G0281,Elec stim unattend for press,A,0.35,0.35,0.7,XXX
G0282,Elect stim wound care not pd,N,0,0,0,XXX
G0283,Elec stim other than wound,A,0.35,0.35,0.7,XXX
G0288,"Recon, cta for surg plan",A,1.31,1.31,2.62,XXX
G0289,"Arthro, loose body + chondro",A,2.54,2.54,5.08,ZZZ
G0293,"Non-cov surg proc,clin trial",E,0,0,0,XXX
G0294,"Non-cov proc, clinical trial",E,0,0,0,XXX
G0295,Electromagnetic therapy onc,N,0,0,0,XXX
G0296,Visit to determ ldct elig,A,0.83,0.75,1.58,XXX
G0299,Hhs/hospice of rn ea 15 min,X,0,0,0,XXX
G0300,Hhs/hospice of lpn ea 15 min,X,0,0,0,XXX
G0302,Pre-op service lvrs complete,X,0,0,0,XXX
G0303,Pre-op service lvrs 10-15dos,X,0,0,0,XXX
G0304,Pre-op service lvrs 1-9 dos,X,0,0,0,XXX
G0305,Post op service lvrs min 6,X,0,0,0,XXX
G0306,Cbc/diffwbc w/o platelet,X,0,0,0,XXX
G0307,Cbc without platelet,X,0,0,0,XXX
G0310,Immunize counsel 5-15 min,I,0,0,0,XXX
G0311,Immunize counsel 16-30 mins,I,0,0,0,XXX
G0312,Immunize couns < 21yr 5-15 m,I,0,0,0,XXX
G0313,Immunize couns < 21yr 6-30 m,I,0,0,0,XXX
G0314,Counsel immune <21 16-30 m,I,0,0,0,XXX
G0315,Counsel immune <21  5-15 m,I,0,0,0,XXX
G0316,Prolong inpt eval add15 m,A,0.95,0.9,1.85,ZZZ
G0317,Prolong nursin fac eval 15m,A,0.95,0.9,1.85,ZZZ
G0318,Prolong home eval add 15m,A,0.93,0.89,1.82,ZZZ
G0320,Two-way audio and video hhs,X,0,0,0,XXX
G0321,Audio-only hhs,X,0,0,0,XXX
G0322,Home h physio data collec tr,X,0,0,0,XXX
G0323,Care manage beh svs 20mins,A,1.65,1.3,2.95,XXX
G0327,Colon ca scrn;bld-bsd biomrk,X,0,0,0,XXX
G0328,Fecal blood scrn immunoassay,X,0,0,0,XXX
G0329,Electromagntic tx for ulcers,A,0.32,0.32,0.64,XXX
G0330,Facility svs dental rehab,X,0,0,0,XXX
G0333,Dispense fee initial 30 day,X,0,0,0,XXX
G0337,Hospice evaluation preelecti,X,2.06,2.06,4.12,XXX
G0339,"Robot lin-radsurg com, first",C,0,0,0,XXX
G0340,Robt lin-radsurg fractx 2-5,C,0,0,0,XXX
G0341,Percutaneous islet celltrans,A,47.44,9.14,56.58,0
G0342,Laparoscopy islet cell trans,A,22.69,22.69,45.38,90
G0343,Laparotomy islet cell transp,A,37.09,37.09,74.18,90
G0372,Md service required for pmd,A,0.26,0.26,0.52,XXX
G0378,Hospital observation per hr,X,0,0,0,XXX
G0379,Direct refer hospital observ,X,0,0,0,XXX
G0380,Lev 1 hosp type b ed visit,X,0,0,0,XXX
G0381,Lev 2 hosp type b ed visit,X,0,0,0,XXX
G0382,Lev 3 hosp type b ed visit,X,0,0,0,XXX
G0383,Lev 4 hosp type b ed visit,X,0,0,0,XXX
G0384,Lev 5 hosp type b ed visit,X,0,0,0,XXX
G0390,Trauma respons w/hosp criti,X,0,0,0,XXX
G0396,Alcohol/subs interv 15-30mn,A,1.03,0.94,1.97,XXX
G0397,Alcohol/subs interv >30 min,A,2,1.91,3.91,XXX
G0398,Home sleep test/type 2 porta,C,0,0,0,XXX
G0398,Home sleep test/type 2 porta,C,0,0,0,XXX
G0398,Home sleep test/type 2 porta,C,0,0,0,XXX
G0399,Home sleep test/type 3 porta,C,0,0,0,XXX
G0399,Home sleep test/type 3 porta,C,0,0,0,XXX
G0399,Home sleep test/type 3 porta,C,0,0,0,XXX
G0400,Home sleep test/type 4 porta,C,0,0,0,XXX
G0400,Home sleep test/type 4 porta,C,0,0,0,XXX
G0400,Home sleep test/type 4 porta,C,0,0,0,XXX
G0402,Initial preventive exam,A,4.98,3.9,8.88,XXX
G0403,Ekg for initial prevent exam,A,0.43,0.43,0.86,XXX
G0404,Ekg tracing for initial prev,A,0.19,0.19,0.38,XXX
G0405,Ekg interpret & report preve,A,0.24,0.24,0.48,XXX
G0406,Inpt/tele follow up 15,A,1.23,1.23,2.46,XXX
G0407,Inpt/tele follow up 25,A,2.14,2.14,4.28,XXX
G0408,Inpt/tele follow up 35,A,3.12,3.12,6.24,XXX
G0409,Corf related serv 15 mins ea,R,0.71,0.71,1.42,XXX
G0410,Grp psych php/iop 45-50,X,0,0,0,XXX
G0411,Interactive grp psyc php/iop,X,0,0,0,XXX
G0412,Open tx iliac spine uni/bil,A,21.93,21.93,43.86,90
G0413,Pelvic ring fracture uni/bil,A,32.12,32.12,64.24,90
G0414,Pelvic ring fx treat int fix,A,30.31,30.31,60.62,90
G0415,Open tx post pelvic fxcture,A,41.18,41.18,82.36,90
G0416,"Prostate biopsy, any mthd",A,10.89,10.89,21.78,XXX
G0416,"Prostate biopsy, any mthd",A,5.75,5.75,11.5,XXX
G0416,"Prostate biopsy, any mthd",A,5.14,5.14,10.28,XXX
G0420,Ed svc ckd ind per session,A,3.24,3.24,6.48,XXX
G0421,Ed svc ckd grp per session,A,0.81,0.81,1.62,XXX
G0422,Intens cardiac rehab w/exerc,A,3.85,3.85,7.7,XXX
G0423,Intens cardiac rehab no exer,A,3.85,3.85,7.7,XXX
G0425,Inpt/ed teleconsult30,A,2.75,2.75,5.5,XXX
G0426,Inpt/ed teleconsult50,A,3.89,3.89,7.78,XXX
G0427,Inpt/ed teleconsult70,A,5.5,5.5,11,XXX
G0428,Collagen meniscus implant,N,0,0,0,XXX
G0429,Dermal filler injection(s),A,2.99,2.04,5.03,0
G0432,Eia hiv-1/hiv-2 screen,X,0,0,0,XXX
G0433,Elisa hiv-1/hiv-2 screen,X,0,0,0,XXX
G0435,Oral hiv-1/hiv-2 screen,X,0,0,0,XXX
G0438,"Ppps, initial visit",A,4.97,4.97,9.94,XXX
G0439,"Ppps, subseq visit",A,3.91,3.91,7.82,XXX
G0442,Annual alcohol screen 15 min,A,0.57,0.27,0.84,XXX
G0443,Brief alcohol misuse counsel,A,0.75,0.67,1.42,XXX
G0444,Depression screen annual,A,0.57,0.27,0.84,XXX
G0445,High inten beh couns std 30m,A,0.79,0.67,1.46,XXX
G0446,Intens behave ther cardio dx,A,0.76,0.68,1.44,XXX
G0447,Behavior counsel obesity 15m,A,0.76,0.67,1.43,XXX
G0448,Place perm pacing cardiovert,E,0,0,0,XXX
G0451,Devlopment test interpt&rep,A,0.35,0.35,0.7,XXX
G0452,Molecular pathology interpr,A,1.47,1.47,2.94,XXX
G0452,Molecular pathology interpr,A,0.1,0.1,0.2,XXX
G0452,Molecular pathology interpr,A,1.37,1.37,2.74,XXX
G0453,Cont intraop neuro monitor,A,0.95,0.95,1.9,XXX
G0454,Md document visit by npp,A,0.26,0.26,0.52,XXX
G0455,Fecal microbiota prep instil,A,3.93,2.09,6.02,0
